HipFlex_R	HipFlex_L	KneeFlex_R	KneeFlex_L	FootLFex_R	FootLFex_L	Q1	Q2	Q3	Q4	Q5	Q6	Q7	ACC1_X	ACC1_Y	ACC1_Z	GYR1_X	GYR1_Y	GYR1_Z	ACC2_X	ACC2_Y	ACC2_Z	GYR2_X	GYR2_Y	GYR2_Z	ACC3_X	ACC3_Y	ACC3_Z	GYR3_X	GYR3_Y	GYR3_Z	ACC4_X	ACC4_Y	ACC4_Z	GYR4_X	GYR4_Y	GYR4_Z	ACC5_X	ACC5_Y	ACC5_Z	GYR5_X	GYR5_Y	GYR5_Z	ACC6_X	ACC6_Y	ACC6_Z	GYR6_X	GYR6_Y	GYR6_Z	ACC7_X	ACC7_Y	ACC7_Z	GYR7_X	GYR7_Y	GYR7_Z	TImeStamp
87.8429	94.52521	74.45644	92.39323	2.32367944717407	323.126758575439	(0.65690, 0.27842, -0.47489, 0.51521)	(-0.04312, -0.26356, 0.77614, 0.57122)	(-0.34042, 0.68696, -0.59894, -0.23123)	(0.32391, 0.52589, -0.71951, 0.31753)	(0.09879, -0.68078, 0.70324, 0.17953)	(0.75395, 0.10093, -0.24835, 0.59975)	(0.25365, 0.06823, 0.37621, 0.88852)	-9.2483377456665	-3.17052984237671	-0.228682965040207	-0.0193085502833128	0.037896066904068	0.00423297518864274	-3.50902795791626	-3.58237075805664	8.43901252746582	0.0123499780893326	-0.00352326175197959	0.00639004120603204	-9.65527057647705	0.894573092460632	-1.60164213180542	-0.005061368457973	0.0180985983461142	-0.0110838925465941	-9.46070671081543	-1.35016286373138	2.33608055114746	0.00379469245672226	-0.0331230573356152	0.0216750223189592	-9.69153118133545	-1.02015376091003	0.527443289756775	-0.00944639090448618	0.0180115848779678	-0.00279748323373497	-9.4271240234375	-2.32303905487061	-1.4994136095047	0.00351104885339737	-0.00168993615079671	-0.00363103533163667	-3.98546361923218	3.14599084854126	8.41617298126221	-0.0607776753604412	-0.0141922272741795	0.0374164432287216	1652107865
87.8429	94.52521	74.45644	92.39323	2.32367944717407	323.126758575439	(0.65690, 0.27842, -0.47489, 0.51521)	(-0.04312, -0.26356, 0.77614, 0.57122)	(-0.34042, 0.68696, -0.59894, -0.23123)	(0.32391, 0.52589, -0.71951, 0.31753)	(0.09879, -0.68078, 0.70324, 0.17953)	(0.75395, 0.10093, -0.24835, 0.59975)	(0.25365, 0.06823, 0.37621, 0.88852)	-9.2483377456665	-3.17052984237671	-0.228682965040207	-0.0193085502833128	0.037896066904068	0.00423297518864274	-3.50902795791626	-3.58237075805664	8.43901252746582	0.0123499780893326	-0.00352326175197959	0.00639004120603204	-9.65527057647705	0.894573092460632	-1.60164213180542	-0.005061368457973	0.0180985983461142	-0.0110838925465941	-9.46070671081543	-1.35016286373138	2.33608055114746	0.00379469245672226	-0.0331230573356152	0.0216750223189592	-9.69153118133545	-1.02015376091003	0.527443289756775	-0.00944639090448618	0.0180115848779678	-0.00279748323373497	-9.4271240234375	-2.32303905487061	-1.4994136095047	0.00351104885339737	-0.00168993615079671	-0.00363103533163667	-3.98546361923218	3.14599084854126	8.41617298126221	-0.0607776753604412	-0.0141922272741795	0.0374164432287216	1652107865
87.8429	94.52521	74.45644	92.39323	2.32367944717407	323.126758575439	(0.65690, 0.27842, -0.47489, 0.51521)	(-0.04312, -0.26356, 0.77614, 0.57122)	(-0.34042, 0.68696, -0.59894, -0.23123)	(0.32391, 0.52589, -0.71951, 0.31753)	(0.09879, -0.68078, 0.70324, 0.17953)	(0.75395, 0.10093, -0.24835, 0.59975)	(0.25365, 0.06823, 0.37621, 0.88852)	-9.2483377456665	-3.17052984237671	-0.228682965040207	-0.0193085502833128	0.037896066904068	0.00423297518864274	-3.50902795791626	-3.58237075805664	8.43901252746582	0.0123499780893326	-0.00352326175197959	0.00639004120603204	-9.65527057647705	0.894573092460632	-1.60164213180542	-0.005061368457973	0.0180985983461142	-0.0110838925465941	-9.46070671081543	-1.35016286373138	2.33608055114746	0.00379469245672226	-0.0331230573356152	0.0216750223189592	-9.69153118133545	-1.02015376091003	0.527443289756775	-0.00944639090448618	0.0180115848779678	-0.00279748323373497	-9.4271240234375	-2.32303905487061	-1.4994136095047	0.00351104885339737	-0.00168993615079671	-0.00363103533163667	-3.98546361923218	3.14599084854126	8.41617298126221	-0.0607776753604412	-0.0141922272741795	0.0374164432287216	1652107865
87.85143	94.54938	74.48158	92.40904	2.34443354606628	323.119850158691	(0.65701, 0.27834, -0.47468, 0.51531)	(-0.04310, -0.26348, 0.77614, 0.57125)	(-0.34031, 0.68675, -0.59916, -0.23144)	(0.32355, 0.52554, -0.71981, 0.31779)	(0.09890, -0.68072, 0.70328, 0.17957)	(0.75390, 0.10115, -0.24819, 0.59984)	(0.25376, 0.06833, 0.37644, 0.88838)	-9.27147102355957	-3.30982875823975	-0.260113805532455	-0.0301641318947077	0.027603592723608	-0.00919418781995773	-3.52822017669678	-3.59181070327759	8.43442535400391	0.00152125873137265	-0.00333502795547247	-0.000640360231045634	-9.62186527252197	0.851154267787933	-1.64222753047943	-0.00213452591560781	-0.0350097864866257	0.00270428298972547	-9.45334339141846	-1.35976266860962	2.37021589279175	0.00548234116286039	-0.043698038905859	0.0181092210114002	-9.72033023834229	-1.02514290809631	0.53661572933197	0.00926466658711433	0.018397768959403	0.00890759658068419	-9.43418121337891	-2.27716875076294	-1.59798896312714	-0.00384251796640456	0.00439801719039679	0.039843775331974	-3.96086311340332	3.17666912078857	8.39491367340088	-0.0426775999367237	0.00499376934021711	0.061081986874342	1652107865
87.87744	94.5538	74.52525	92.40683	2.36456394195557	323.096057891846	(0.65701, 0.27830, -0.47462, 0.51538)	(-0.04322, -0.26361, 0.77617, 0.57113)	(-0.34040, 0.68633, -0.59948, -0.23173)	(0.32340, 0.52529, -0.71994, 0.31809)	(0.09911, -0.68067, 0.70327, 0.17967)	(0.75380, 0.10156, -0.24807, 0.59994)	(0.25394, 0.06831, 0.37623, 0.88843)	-9.19825267791748	-3.45922565460205	-0.231690838932991	-0.0111337024718523	0.0239210333675146	-0.00939103029668331	-3.52810478210449	-3.58218097686768	8.42492294311523	-0.0252992268651724	0.00273604597896338	0.0115360990166664	-9.65543174743652	0.851277887821197	-1.6133941411972	0.0173030775040388	-0.0542206130921841	0.0185820199549198	-9.47282600402832	-1.3790580034256	2.29834890365601	-0.0114177325740457	-0.0225420948117971	0.0172467604279518	-9.72045040130615	-0.962354302406311	0.526742219924927	0.0201819147914648	0.0257365368306637	0.00907578226178885	-9.38275718688965	-2.37129020690918	-1.7225958108902	0.016093160957098	0.00855433102697134	0.0580463632941246	-3.98256158828735	3.1373074054718	8.50387859344482	-0.0159888695925474	-0.00363549147732556	-0.0296501889824867	1652107865
87.87744	94.5538	74.52525	92.40683	2.36456394195557	323.096057891846	(0.65701, 0.27830, -0.47462, 0.51538)	(-0.04322, -0.26361, 0.77617, 0.57113)	(-0.34040, 0.68633, -0.59948, -0.23173)	(0.32340, 0.52529, -0.71994, 0.31809)	(0.09911, -0.68067, 0.70327, 0.17967)	(0.75380, 0.10156, -0.24807, 0.59994)	(0.25394, 0.06831, 0.37623, 0.88843)	-9.19825267791748	-3.45922565460205	-0.231690838932991	-0.0111337024718523	0.0239210333675146	-0.00939103029668331	-3.52810478210449	-3.58218097686768	8.42492294311523	-0.0252992268651724	0.00273604597896338	0.0115360990166664	-9.65543174743652	0.851277887821197	-1.6133941411972	0.0173030775040388	-0.0542206130921841	0.0185820199549198	-9.47282600402832	-1.3790580034256	2.29834890365601	-0.0114177325740457	-0.0225420948117971	0.0172467604279518	-9.72045040130615	-0.962354302406311	0.526742219924927	0.0201819147914648	0.0257365368306637	0.00907578226178885	-9.38275718688965	-2.37129020690918	-1.7225958108902	0.016093160957098	0.00855433102697134	0.0580463632941246	-3.98256158828735	3.1373074054718	8.50387859344482	-0.0159888695925474	-0.00363549147732556	-0.0296501889824867	1652107865
87.87744	94.5538	74.52525	92.40683	2.36456394195557	323.096057891846	(0.65701, 0.27830, -0.47462, 0.51538)	(-0.04322, -0.26361, 0.77617, 0.57113)	(-0.34040, 0.68633, -0.59948, -0.23173)	(0.32340, 0.52529, -0.71994, 0.31809)	(0.09911, -0.68067, 0.70327, 0.17967)	(0.75380, 0.10156, -0.24807, 0.59994)	(0.25394, 0.06831, 0.37623, 0.88843)	-9.19825267791748	-3.45922565460205	-0.231690838932991	-0.0111337024718523	0.0239210333675146	-0.00939103029668331	-3.52810478210449	-3.58218097686768	8.42492294311523	-0.0252992268651724	0.00273604597896338	0.0115360990166664	-9.65543174743652	0.851277887821197	-1.6133941411972	0.0173030775040388	-0.0542206130921841	0.0185820199549198	-9.47282600402832	-1.3790580034256	2.29834890365601	-0.0114177325740457	-0.0225420948117971	0.0172467604279518	-9.72045040130615	-0.962354302406311	0.526742219924927	0.0201819147914648	0.0257365368306637	0.00907578226178885	-9.38275718688965	-2.37129020690918	-1.7225958108902	0.016093160957098	0.00855433102697134	0.0580463632941246	-3.98256158828735	3.1373074054718	8.50387859344482	-0.0159888695925474	-0.00363549147732556	-0.0296501889824867	1652107865
87.86694	94.57174	74.53297	92.40695	2.3673083782196	323.108871459961	(0.65704, 0.27849, -0.47464, 0.51524)	(-0.04308, -0.26347, 0.77627, 0.57108)	(-0.34032, 0.68575, -0.60002, -0.23220)	(0.32315, 0.52515, -0.72008, 0.31825)	(0.09913, -0.68067, 0.70325, 0.17970)	(0.75387, 0.10170, -0.24802, 0.59985)	(0.25385, 0.06815, 0.37630, 0.88843)	-9.19931411743164	-3.3384325504303	-0.257887363433838	0.00909495539963245	0.0448020398616791	-0.0112483659759164	-3.49464178085327	-3.61340308189392	8.42902565002441	0.0124176722019911	-0.00371621386148036	0.0151366796344519	-9.59789848327637	0.851060807704926	-1.66145217418671	0.0152782993391156	-0.0865429639816284	0.00967096816748381	-9.46089553833008	-1.35020184516907	2.28792691230774	0.0041118236258626	-0.0136956451460719	0.0172664783895016	-9.69640827178955	-0.996098756790161	0.529641926288605	0.00141407526098192	0.0254488661885262	0.000931461050640792	-9.31423473358154	-2.42272448539734	-1.62191367149353	-0.000720495008863509	0.0213199816644192	0.0218706298619509	-3.97179985046387	3.18388843536377	8.39434909820557	-0.0693901032209396	-0.00793458428233862	0.0363141074776649	1652107865
87.86694	94.57174	74.53297	92.40695	2.3673083782196	323.108871459961	(0.65704, 0.27849, -0.47464, 0.51524)	(-0.04308, -0.26347, 0.77627, 0.57108)	(-0.34032, 0.68575, -0.60002, -0.23220)	(0.32315, 0.52515, -0.72008, 0.31825)	(0.09913, -0.68067, 0.70325, 0.17970)	(0.75387, 0.10170, -0.24802, 0.59985)	(0.25385, 0.06815, 0.37630, 0.88843)	-9.19931411743164	-3.3384325504303	-0.257887363433838	0.00909495539963245	0.0448020398616791	-0.0112483659759164	-3.49464178085327	-3.61340308189392	8.42902565002441	0.0124176722019911	-0.00371621386148036	0.0151366796344519	-9.59789848327637	0.851060807704926	-1.66145217418671	0.0152782993391156	-0.0865429639816284	0.00967096816748381	-9.46089553833008	-1.35020184516907	2.28792691230774	0.0041118236258626	-0.0136956451460719	0.0172664783895016	-9.69640827178955	-0.996098756790161	0.529641926288605	0.00141407526098192	0.0254488661885262	0.000931461050640792	-9.31423473358154	-2.42272448539734	-1.62191367149353	-0.000720495008863509	0.0213199816644192	0.0218706298619509	-3.97179985046387	3.18388843536377	8.39434909820557	-0.0693901032209396	-0.00793458428233862	0.0363141074776649	1652107865
87.85855	94.55609	74.52075	92.38798	2.37894487380981	323.107257843018	(0.65694, 0.27870, -0.47465, 0.51523)	(-0.04303, -0.26343, 0.77629, 0.57108)	(-0.34047, 0.68482, -0.60076, -0.23278)	(0.32297, 0.52502, -0.72019, 0.31838)	(0.09913, -0.68073, 0.70322, 0.17961)	(0.75375, 0.10185, -0.24819, 0.59991)	(0.25379, 0.06810, 0.37618, 0.88850)	-9.19042015075684	-3.28469252586365	-0.305835098028183	0.0133207198232412	0.034164872020483	0.00215140450745821	-3.52808165550232	-3.57501554489136	8.42497253417969	0.00067375332582742	-0.000763065530918539	0.00461041508242488	-9.64627647399902	0.802992761135101	-1.59635090827942	0.0381023958325386	-0.121619768440723	0.0325141735374928	-9.43457317352295	-1.30210649967194	2.27707171440125	0.000593764416407794	-0.00838067755103111	0.0119403526186943	-9.7491455078125	-1.0301673412323	0.548176944255829	-0.00935014989227056	0.0328776836395264	0.00631488347426057	-9.40624713897705	-2.52543187141419	-1.5407749414444	-0.0138367675244808	-0.00812506582587957	0.0141518693417311	-4.01815176010132	3.12535357475281	8.50254440307617	-0.0458149202167988	-0.00997753068804741	0.0140043813735247	1652107865
