HipFlex_R	HipFlex_L	KneeFlex_R	KneeFlex_L	FootLFex_R	FootLFex_L	Q1	Q2	Q3	Q4	Q5	Q6	Q7	ACC1_X	ACC1_Y	ACC1_Z	GYR1_X	GYR1_Y	GYR1_Z	ACC2_X	ACC2_Y	ACC2_Z	GYR2_X	GYR2_Y	GYR2_Z	ACC3_X	ACC3_Y	ACC3_Z	GYR3_X	GYR3_Y	GYR3_Z	ACC4_X	ACC4_Y	ACC4_Z	GYR4_X	GYR4_Y	GYR4_Z	ACC5_X	ACC5_Y	ACC5_Z	GYR5_X	GYR5_Y	GYR5_Z	ACC6_X	ACC6_Y	ACC6_Z	GYR6_X	GYR6_Y	GYR6_Z	ACC7_X	ACC7_Y	ACC7_Z	GYR7_X	GYR7_Y	GYR7_Z	TImeStamp
93.44346	84.99033	91.29813	90.7067	358.953491210938	354.806787490845	(0.68279, 0.23951, -0.45134, 0.52223)	(0.14536, -0.22274, 0.17495, 0.94797)	(-0.30480, 0.70594, -0.59881, -0.22400)	(0.16820, 0.55072, -0.75618, 0.31081)	(0.08888, -0.67390, 0.71041, 0.18244)	(0.75401, 0.14079, -0.28706, 0.57380)	(0.25370, 0.06901, 0.38657, 0.88399)	-9.12772655487061	-3.55216503143311	-0.411753237247467	0.0156451798975468	0.057708416134119	-0.0190875381231308	-3.56665802001953	-3.58404207229614	8.42297458648682	-0.00901281367987394	0.0134682096540928	0.0067454339005053	-9.65383815765381	0.630374372005463	-1.78955411911011	-0.0259651616215706	-0.0249647330492735	0.0264504179358482	-9.26350688934326	0.892552971839905	3.30920171737671	0.0061359703540802	0.00824237149208784	-0.0133557431399822	-9.6523265838623	-1.33417248725891	0.712718367576599	-0.00638059712946415	0.0115708271041512	0.00587034830823541	-9.34791946411133	-2.61147403717041	-1.76411736011505	0.057819552719593	0.00554363336414099	0.0239839088171721	-3.91103839874268	3.20843315124512	8.50883960723877	-0.0705554559826851	-0.00650015566498041	0.0396764539182186	1652108093
93.4483	84.97144	91.27246	90.71814	358.975128173828	354.804969787598	(0.68285, 0.23961, -0.45124, 0.52219)	(0.14539, -0.22279, 0.17493, 0.94796)	(-0.30439, 0.70590, -0.59918, -0.22371)	(0.16829, 0.55054, -0.75633, 0.31072)	(0.08863, -0.67369, 0.71070, 0.18221)	(0.75379, 0.14080, -0.28741, 0.57391)	(0.25382, 0.06898, 0.38646, 0.88401)	-9.12814903259277	-3.55115389823914	-0.478992879390717	-0.0192916728556156	0.0360014550387859	-0.00634500524029136	-3.54751968383789	-3.59132194519043	8.42744445800781	-0.00908246543258429	0.00636835908517241	0.00411221664398909	-9.59677028656006	0.560284614562988	-1.8252317905426	-0.0671446695923805	-0.0272212661802769	0.00674106273800135	-9.27313423156738	0.897369682788849	3.30889940261841	-0.00210897088982165	-0.00232977024279535	-0.0213574357330799	-9.71581363677979	-0.997390747070312	0.743567049503326	-0.0316921323537827	0.00420814193785191	0.00566270155832171	-9.37404155731201	-2.49478197097778	-1.75169575214386	0.0550587922334671	-0.0069983103312552	0.00590456556528807	-3.90339684486389	3.23247194290161	8.40677928924561	-0.0425801314413548	0.0136722410097718	0.0345457494258881	1652108093
93.43292	84.97552	91.25055	90.74406	359.001281738281	354.800097942352	(0.68298, 0.23960, -0.45106, 0.52218)	(0.14546, -0.22306, 0.17504, 0.94786)	(-0.30376, 0.70592, -0.59965, -0.22323)	(0.16856, 0.55028, -0.75637, 0.31096)	(0.08843, -0.67352, 0.71096, 0.18189)	(0.75338, 0.14107, -0.28812, 0.57402)	(0.25395, 0.06888, 0.38652, 0.88395)	-9.09153747558594	-3.6140308380127	-0.450350850820541	-0.0228493977338076	0.039520874619484	-0.00812630634754896	-3.53070473670959	-3.57470655441284	8.43211460113525	-0.032390471547842	0.0117550082504749	0.00579376937821507	-9.64243316650391	0.514786839485168	-1.80811870098114	-0.095927007496357	-0.0335339680314064	0.00292258965782821	-9.08560180664062	0.844315707683563	3.27971267700195	-0.0430067777633667	-0.000622150080744177	-0.00370260467752814	-9.73948764801025	-1.06467068195343	0.729236662387848	-0.0410111844539642	-0.00463655078783631	0.0161799117922783	-9.30852890014648	-2.43246054649353	-1.8331093788147	0.0751599371433258	-0.0311184730380774	-0.00250010029412806	-3.93312549591064	3.26889395713806	8.41958522796631	-0.0532495118677616	0.0114842224866152	0.0334062241017818	1652108093
93.43292	84.97552	91.25055	90.74406	359.001281738281	354.800097942352	(0.68298, 0.23960, -0.45106, 0.52218)	(0.14546, -0.22306, 0.17504, 0.94786)	(-0.30376, 0.70592, -0.59965, -0.22323)	(0.16856, 0.55028, -0.75637, 0.31096)	(0.08843, -0.67352, 0.71096, 0.18189)	(0.75338, 0.14107, -0.28812, 0.57402)	(0.25395, 0.06888, 0.38652, 0.88395)	-9.09153747558594	-3.6140308380127	-0.450350850820541	-0.0228493977338076	0.039520874619484	-0.00812630634754896	-3.53070473670959	-3.57470655441284	8.43211460113525	-0.032390471547842	0.0117550082504749	0.00579376937821507	-9.64243316650391	0.514786839485168	-1.80811870098114	-0.095927007496357	-0.0335339680314064	0.00292258965782821	-9.08560180664062	0.844315707683563	3.27971267700195	-0.0430067777633667	-0.000622150080744177	-0.00370260467752814	-9.73948764801025	-1.06467068195343	0.729236662387848	-0.0410111844539642	-0.00463655078783631	0.0161799117922783	-9.30852890014648	-2.43246054649353	-1.8331093788147	0.0751599371433258	-0.0311184730380774	-0.00250010029412806	-3.93312549591064	3.26889395713806	8.41958522796631	-0.0532495118677616	0.0114842224866152	0.0334062241017818	1652108093
93.43292	84.97552	91.24741	90.74406	359.00439453125	354.800436496735	(0.68289, 0.23967, -0.45115, 0.52219)	(0.14542, -0.22335, 0.17517, 0.94778)	(-0.30317, 0.70591, -0.60014, -0.22271)	(0.16880, 0.55010, -0.75641, 0.31104)	(0.08843, -0.67352, 0.71096, 0.18189)	(0.75338, 0.14107, -0.28812, 0.57402)	(0.25395, 0.06888, 0.38652, 0.88395)	-9.1105899810791	-3.65936398506165	-0.484021127223969	0.00239741173572838	0.0218708720058203	-0.0119467526674271	-3.56660103797913	-3.60542559623718	8.40846920013428	-0.0360033288598061	0.00270929164253175	0.0119102476164699	-9.66386699676514	0.524549186229706	-1.803342461586	-0.101370111107826	-0.0306629985570908	0.0098769711330533	-9.09982681274414	0.856399357318878	3.33688306808472	-0.0319844707846642	0.00645821960642934	-0.0107803093269467	-9.73948764801025	-1.06467068195343	0.691155910491943	-0.0843830332159996	-0.0157046057283878	0.0157698690891266	-9.30852890014648	-2.43246054649353	-1.8331093788147	0.0751599371433258	-0.0311184730380774	-0.00250010029412806	-3.93312549591064	3.26889395713806	8.41958522796631	-0.0532495118677616	0.0114842224866152	0.0334062241017818	1652108093
93.42339	84.96152	91.22486	90.75809	359.017333984375	354.786876678467	(0.68289, 0.23967, -0.45115, 0.52219)	(0.14542, -0.22335, 0.17517, 0.94778)	(-0.30317, 0.70591, -0.60014, -0.22271)	(0.16880, 0.55010, -0.75641, 0.31104)	(0.08787, -0.67337, 0.71133, 0.18128)	(0.75317, 0.14149, -0.28891, 0.57380)	(0.25398, 0.06890, 0.38692, 0.88376)	-9.1105899810791	-3.65936398506165	-0.484021127223969	0.00239741173572838	0.0218708720058203	-0.0119467526674271	-3.56660103797913	-3.60542559623718	8.40846920013428	-0.0360033288598061	0.00270929164253175	0.0119102476164699	-9.66386699676514	0.524549186229706	-1.803342461586	-0.101370111107826	-0.0306629985570908	0.0098769711330533	-9.09982681274414	0.856399357318878	3.33688306808472	-0.0319844707846642	0.00645821960642934	-0.0107803093269467	-9.75579929351807	-1.13881886005402	0.691155910491943	-0.0843830332159996	-0.0157046057283878	0.0157698690891266	-9.30621528625488	-2.56284546852112	-1.92123699188232	0.0612604469060898	0.00780919147655368	-0.00883317179977894	-3.91808462142944	3.21233129501343	8.48661994934082	-0.0417004935443401	0.00328225130215287	0.0655113011598587	1652108093
93.42694	84.96403	91.22168	90.78479	359.033905029297	354.785697937012	(0.68282, 0.23980, -0.45130, 0.52209)	(0.14552, -0.22357, 0.17544, 0.94766)	(-0.30253, 0.70603, -0.60051, -0.22222)	(0.16906, 0.55011, -0.75633, 0.31109)	(0.08735, -0.67305, 0.71183, 0.18078)	(0.75320, 0.14151, -0.28898, 0.57372)	(0.25417, 0.06898, 0.38695, 0.88369)	-9.06250667572021	-3.68074560165405	-0.488944947719574	0.0170962698757648	0.0331520028412342	-0.0156274661421776	-3.51633477210999	-3.66291308403015	8.40258598327637	-0.0304667931050062	0.0104938615113497	0.0224176105111837	-9.57110691070557	0.456573963165283	-1.8270947933197	-0.09665147960186	-0.0202977564185858	-0.0023110993206501	-9.0997428894043	0.767364382743836	3.31819629669189	-0.0253078937530518	0.0293946992605925	-0.00897252559661865	-9.68152618408203	-1.12662589550018	0.687369644641876	-0.0747693479061127	-0.0358490608632565	0.0128784626722336	-9.34772300720215	-2.66710829734802	-1.83089363574982	0.00262569147162139	0.00973538402467966	0.00441061984747648	-3.88864088058472	3.20637249946594	8.42963790893555	-0.0350764542818069	0.0105726839974523	0.0356463938951492	1652108093
93.42694	84.96403	91.22168	90.78479	359.033905029297	354.785697937012	(0.68282, 0.23980, -0.45130, 0.52209)	(0.14552, -0.22357, 0.17544, 0.94766)	(-0.30253, 0.70603, -0.60051, -0.22222)	(0.16906, 0.55011, -0.75633, 0.31109)	(0.08735, -0.67305, 0.71183, 0.18078)	(0.75320, 0.14151, -0.28898, 0.57372)	(0.25417, 0.06898, 0.38695, 0.88369)	-9.06250667572021	-3.68074560165405	-0.488944947719574	0.0170962698757648	0.0331520028412342	-0.0156274661421776	-3.51633477210999	-3.66291308403015	8.40258598327637	-0.0304667931050062	0.0104938615113497	0.0224176105111837	-9.57110691070557	0.456573963165283	-1.8270947933197	-0.09665147960186	-0.0202977564185858	-0.0023110993206501	-9.0997428894043	0.767364382743836	3.31819629669189	-0.0253078937530518	0.0293946992605925	-0.00897252559661865	-9.68152618408203	-1.12662589550018	0.687369644641876	-0.0747693479061127	-0.0358490608632565	0.0128784626722336	-9.34772300720215	-2.66710829734802	-1.83089363574982	0.00262569147162139	0.00973538402467966	0.00441061984747648	-3.88864088058472	3.20637249946594	8.42963790893555	-0.0350764542818069	0.0105726839974523	0.0356463938951492	1652108093
93.47921	84.91977	91.2114	90.81286	359.032745361328	354.777135848999	(0.68276, 0.24014, -0.45143, 0.52190)	(0.14558, -0.22369, 0.17559, 0.94760)	(-0.30204, 0.70622, -0.60069, -0.22180)	(0.16963, 0.55019, -0.75625, 0.31082)	(0.08668, -0.67287, 0.71226, 0.18005)	(0.75294, 0.14177, -0.28940, 0.57378)	(0.25415, 0.06928, 0.38709, 0.88361)	-9.07289981842041	-3.53696084022522	-0.445440709590912	0.0171422883868217	0.0453239120543003	-0.00659087626263499	-3.52575612068176	-3.64604139328003	8.3884801864624	-0.0188354440033436	0.00692783575505018	0.0207029860466719	-9.63648796081543	0.372439801692963	-1.74497616291046	-0.0784343779087067	0.00197140616364777	-0.00114002905320376	-9.15990447998047	0.726470351219177	3.28738594055176	-0.0201731026172638	0.0471657663583755	-0.0515132509171963	-9.6628589630127	-1.1762809753418	0.788219690322876	-0.0998225435614586	-0.023038936778903	0.0173286944627762	-9.2993278503418	-2.59391164779663	-1.80034327507019	0.0595441609621048	-0.00493947649374604	0.016528245061636	-3.93637347221374	3.22684764862061	8.48564147949219	-0.0149276647716761	-0.0155707914382219	0.0484704561531544	1652108093
93.47921	84.91977	91.2114	90.81286	359.032745361328	354.777135848999	(0.68276, 0.24014, -0.45143, 0.52190)	(0.14558, -0.22369, 0.17559, 0.94760)	(-0.30204, 0.70622, -0.60069, -0.22180)	(0.16963, 0.55019, -0.75625, 0.31082)	(0.08668, -0.67287, 0.71226, 0.18005)	(0.75294, 0.14177, -0.28940, 0.57378)	(0.25415, 0.06928, 0.38709, 0.88361)	-9.07289981842041	-3.53696084022522	-0.445440709590912	0.0171422883868217	0.0453239120543003	-0.00659087626263499	-3.52575612068176	-3.64604139328003	8.3884801864624	-0.0188354440033436	0.00692783575505018	0.0207029860466719	-9.63648796081543	0.372439801692963	-1.74497616291046	-0.0784343779087067	0.00197140616364777	-0.00114002905320376	-9.15990447998047	0.726470351219177	3.28738594055176	-0.0201731026172638	0.0471657663583755	-0.0515132509171963	-9.6628589630127	-1.1762809753418	0.788219690322876	-0.0998225435614586	-0.023038936778903	0.0173286944627762	-9.2993278503418	-2.59391164779663	-1.80034327507019	0.0595441609621048	-0.00493947649374604	0.016528245061636	-3.93637347221374	3.22684764862061	8.48564147949219	-0.0149276647716761	-0.0155707914382219	0.0484704561531544	1652108093
